,ids,typesV0,typesKm,formula,labels
590,mp-1174767,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn8', 'Mn8', 'Co5', 'Co1', 'Co1', 'Co1', 'O2', 'O2', 'O1', 'O2', 'O2', 'O1', 'O1', 'O2', 'O2', 'O1', 'O2', 'O2', 'O2', 'O2']",Li4MnCo2O7,0
591,mp-1173931,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn0', 'Mn0', 'Co2', 'Co2', 'Co2', 'Co2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2', 'O2']",Li3Mn(CoO3)2,0
592,mp-1174468,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn10', 'Mn10', 'Co2', 'Co1', 'Co1', 'Co2', 'O1', 'O1', 'O1', 'O4', 'O2', 'O2', 'O1', 'O1', 'O1', 'O2', 'O2', 'O4', 'O1', 'O1']",Li4MnCo2O7,0
593,mp-1444506,"['Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li1', 'Li1', 'Mn3', 'Mn3', 'Co3', 'Co3', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3']",Li3Mn2(CoO4)2,1
594,mp-1174038,"['Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn2', 'Co6', 'Co5', 'O1', 'O1', 'O1', 'O4', 'O4', 'O1', 'O1', 'O1']",Li5Mn(CoO4)2,1
595,mp-754076,"['Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Mn', 'Fe', 'Fe', 'Fe', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li1', 'Li1', 'Li1', 'Li1', 'Mn9', 'Mn9', 'Mn9', 'Fe0', 'Fe0', 'Fe0', 'Co0', 'Co0', 'O0', 'O0', 'O0', 'O0', 'O0', 'O0', 'O0', 'O0', 'O0', 'O0', 'O0', 'O0', 'O0', 'O0', 'O0', 'O0']",Li4Mn3Fe3(CoO8)2,1
596,mp-1174840,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn1', 'Mn1', 'Co3', 'Co6', 'Co6', 'Co2', 'O1', 'O1', 'O2', 'O2', 'O4', 'O1', 'O4', 'O1', 'O4', 'O4', 'O1', 'O4', 'O4', 'O4']",Li4MnCo2O7,0
597,mp-1174583,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn2', 'Mn2', 'Co6', 'Co6', 'Co5', 'Co6', 'O1', 'O1', 'O4', 'O4', 'O1', 'O4', 'O4', 'O1', 'O4', 'O4', 'O1', 'O1', 'O1', 'O4']",Li4MnCo2O7,0
598,mp-1174264,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn8', 'Mn1', 'Co1', 'Co1', 'Co3', 'Co3', 'O4', 'O2', 'O4', 'O2', 'O1', 'O1', 'O2', 'O1', 'O4', 'O2', 'O4', 'O1', 'O2', 'O1']",Li4MnCo2O7,1
599,mp-1174630,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn2', 'Mn2', 'Co6', 'Co5', 'Co6', 'Co6', 'O1', 'O4', 'O1', 'O4', 'O1', 'O1', 'O4', 'O1', 'O4', 'O1', 'O4', 'O1', 'O1', 'O1']",Li4MnCo2O7,0
600,mp-1324966,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li1', 'Li1', 'Li1', 'Li1', 'Li1', 'Li1', 'Li1', 'Li1', 'Mn3', 'Mn3', 'Co0', 'Co0', 'Co0', 'Co0', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3', 'O3']",Li4MnCo2O7,1
601,mp-1174631,"['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Mn', 'Mn', 'Co', 'Co', 'Co', 'Co', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Li0', 'Mn2', 'Mn2', 'Co5', 'Co6', 'Co6', 'Co6', 'O1', 'O1', 'O1', 'O4', 'O4', 'O4', 'O1', 'O4', 'O1', 'O4', 'O1', 'O4', 'O1', 'O4']",Li4MnCo2O7,0
